GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,SEASON_ID,GAME_DATE,MATCHUP,WL,PTS
0021700101,1610612754,Pacers,IND,Indiana,240:00,105.6,105.2,82.0,87.4,23.5,17.8,0.694,1.67,18.6,0.302,0.722,0.514,15.677,15.6,0.494,0.533,1.0,0.197,98.42,95.5,79.58,96,0.629,22017,2017-10-31,IND vs. SAC,W,101
0021700101,1610612758,Kings,SAC,Sacramento,240:00,82.0,87.4,105.6,105.2,-23.5,-17.8,0.405,1.0,12.1,0.278,0.698,0.486,14.828,15.8,0.432,0.441,1.0,0.198,98.42,95.5,79.58,95,0.371,22017,2017-10-31,SAC @ IND,L,83
0021700102,1610612751,Nets,BKN,Brooklyn,240:00,99.0,99.1,104.7,105.2,-5.7,-6.0,0.357,2.14,10.9,0.138,0.75,0.41,6.076,6.1,0.456,0.495,1.0,0.2,115.88,115.5,96.25,115,0.43,22017,2017-10-31,BKN vs. PHX,L,114
0021700102,1610612756,Suns,PHX,Phoenix,240:00,104.7,105.2,99.0,99.1,5.7,6.0,0.4,0.9,12.5,0.25,0.862,0.59,17.159,17.2,0.521,0.572,1.0,0.196,115.88,115.5,96.25,116,0.57,22017,2017-10-31,PHX @ BKN,W,122
0021700103,1610612749,Bucks,MIL,Milwaukee,240:00,93.2,95.8,113.1,115.8,-20.0,-20.0,0.75,1.6,19.1,0.167,0.683,0.404,15.356,15.8,0.474,0.525,1.0,0.193,97.46,95.0,79.17,95,0.398,22017,2017-10-31,MIL vs. OKC,L,91
0021700103,1610612760,Thunder,OKC,Oklahoma City,240:00,113.1,115.8,93.2,95.8,20.0,20.0,0.6,1.5,18.4,0.317,0.833,0.596,16.454,16.8,0.568,0.609,1.0,0.198,97.46,95.0,79.17,95,0.602,22017,2017-10-31,OKC @ MIL,W,110
0021700104,1610612747,Lakers,LAL,Los Angeles,240:00,112.8,115.3,95.6,94.9,17.3,20.4,0.667,2.14,21.3,0.292,0.796,0.559,13.978,14.3,0.56,0.582,1.0,0.198,98.74,98.0,81.67,98,0.6,22017,2017-10-31,LAL vs. DET,W,113
0021700104,1610612765,Pistons,DET,Detroit,240:00,95.6,94.9,112.8,115.3,-17.3,-20.4,0.512,1.75,16.4,0.204,0.708,0.441,12.33,12.2,0.489,0.488,1.0,0.199,98.74,98.0,81.67,98,0.4,22017,2017-10-31,DET @ LAL,L,93
0021700105,1610612749,Bucks,MIL,Milwaukee,240:00,117.9,123.5,125.0,128.6,-7.1,-5.1,0.644,2.07,20.6,0.277,0.75,0.505,13.645,14.3,0.599,0.62,1.0,0.195,101.68,98.0,81.67,98,0.468,22017,2017-11-01,MIL @ CHA,L,121
0021700105,1610612766,Hornets,CHA,Charlotte,240:00,125.0,128.6,117.9,123.5,7.1,5.1,0.467,1.91,16.3,0.25,0.723,0.495,10.917,11.2,0.619,0.651,1.0,0.199,101.68,98.0,81.67,98,0.532,22017,2017-11-01,CHA vs. MIL,W,126
0021700106,1610612754,Pacers,IND,Indiana,240:00,121.9,120.4,104.1,102.9,17.8,17.5,0.714,2.5,24.2,0.233,0.8,0.523,13.763,13.6,0.633,0.648,1.0,0.193,102.26,103.5,86.25,103,0.578,22017,2017-11-01,IND @ CLE,W,124
